"Postcode","Total","Males","Females","Occupied_Households"
"AL1 3PX",9,3,6,5
"AL1 3PY",17,9,8,6
"AL1 3PZ",77,37,40,28
"AL1 3QA",23,14,9,12
"AL1 3QB",34,15,19,10
"AL1 3QD",16,7,9,8
"AL1 3QE",18,9,9,11
"AL1 3QF",22,8,14,11
"AL1 3QG",51,23,28,25
"AL1 3QH",19,6,13,10
"AL1 3QJ",12,4,8,8
"AL1 3QL",18,9,9,8
"AL1 3QN",20,12,8,8
"AL1 3QP",14,5,9,5
"AL1 3QQ",22,11,11,9
"AL1 3QR",17,7,10,7
"AL1 3QS",23,13,10,13
"AL1 3QT",39,18,21,20
"AL1 3QU",15,6,9,8
"AL1 3QW",13,7,6,6
"AL1 3QX",12,6,6,8
"AL1 3QY",26,13,13,15
"AL1 3QZ",19,9,10,12
"AL1 3RB",49,32,17,22
"AL1 3RD",47,19,28,25
"AL1 3RE",32,13,19,18
"AL1 3RF",23,13,10,7
"AL1 3RG",34,19,15,26
"AL1 3RL",1,1,0,1
"AL1 3RP",5,2,3,3
"AL1 3RR",2,1,1,1
"AL1 3RT",24,9,15,23
"AL1 3RU",13,6,7,7
"AL1 3RW",36,19,17,34
"AL1 3RY",68,35,33,31
"AL1 3RZ",2,1,1,2
"AL1 3SA",34,18,16,12
"AL1 3SB",54,24,30,21
"AL1 3SD",21,6,15,12
"AL1 3SF",14,5,9,6
"AL1 3SH",18,9,9,14
"AL1 3SP",36,15,21,7
"AL1 3SQ",4,4,0,4
"AL1 3SR",4,1,3,1
"AL1 3ST",22,13,9,6
"AL1 3SY",8,4,4,5
"AL1 3TA",7,6,1,5
"AL1 3TB",5,1,4,3
"AL1 3TE",1,0,1,1
"AL1 3TG",43,21,22,24
"AL1 3TH",10,6,4,6
"AL1 3TJ",29,16,13,18
"AL1 3TL",11,5,6,5
"AL1 3TT",7,6,1,3
"AL1 3TU",14,11,3,2
"AL1 3TX",35,18,17,12
"AL1 3UA",12,9,3,4
"AL1 3UD",53,33,20,16
"AL1 3UG",26,12,14,13
"AL1 3UH",14,8,6,4
"AL1 3UJ",52,22,30,18
"AL1 3UN",48,22,26,22
"AL1 3UQ",26,13,13,16
"AL1 3WA",48,32,16,28
"AL1 3XB",12,7,5,5
"AL1 3XF",20,14,6,1
"AL1 3XG",14,6,8,6
"AL1 3XH",3,2,1,2
"AL1 3XL",69,36,33,28
"AL1 3XQ",30,14,16,17
"AL1 3XR",14,6,8,9
"AL1 3XT",113,60,53,63
"AL1 3XU",69,21,48,59
"AL1 3XW",86,49,37,46
"AL1 3XX",5,2,3,2
"AL1 3XZ",1,1,0,1
"AL1 3YJ",19,8,11,14
"AL1 3YS",22,10,12,16
"AL1 3YT",12,4,8,6
"AL1 4AA",1,1,0,1
"AL1 4AB",13,5,8,4
"AL1 4AD",81,40,41,27
"AL1 4AE",19,12,7,9
"AL1 4AG",44,24,20,18
"AL1 4AH",74,37,37,27
"AL1 4AJ",24,14,10,7
"AL1 4AL",63,30,33,27
"AL1 4AN",18,8,10,6
"AL1 4AP",65,32,33,32
"AL1 4AQ",73,30,43,26
"AL1 4AR",63,34,29,25
"AL1 4AS",63,33,30,25
"AL1 4AT",32,14,18,11
"AL1 4AU",6,4,2,3
"AL1 4AX",35,22,13,13
"AL1 4BA",8,3,5,4
"AL1 4BE",23,12,11,7
"AL1 4BG",57,21,36,19
"AL1 4BH",18,10,8,6
"AL1 4BJ",22,12,10,7
"AL1 4BL",13,4,9,6
"AL1 4BN",19,10,9,7
"AL1 4BP",5,1,4,3
"AL1 4BQ",57,25,32,18
"AL1 4BS",11,5,6,6
"AL1 4BT",12,6,6,7
"AL1 4BW",22,9,13,7
"AL1 4BY",15,6,9,9
"AL1 4DA",38,20,18,12
"AL1 4DB",66,33,33,21
"AL1 4DD",90,38,52,26
"AL1 4DF",1,1,0,1
"AL1 4DG",7,3,4,2
"AL1 4DH",71,33,38,26
"AL1 4DJ",32,15,17,17
"AL1 4DL",94,48,46,35
"AL1 4DN",100,47,53,41
"AL1 4DP",75,37,38,27
"AL1 4DQ",81,41,40,38
"AL1 4DS",58,31,27,23
"AL1 4DW",57,27,30,26
"AL1 4DX",31,16,15,18
"AL1 4DY",5,3,2,2
"AL1 4DZ",16,5,11,8
"AL1 4EA",10,5,5,6
"AL1 4EB",114,51,63,52
"AL1 4ED",103,50,53,45
"AL1 4EE",124,63,61,57
"AL1 4EF",23,10,13,14
"AL1 4EJ",12,6,6,9
"AL1 4EL",63,31,32,27
"AL1 4EP",77,39,38,27
"AL1 4ER",37,16,21,14
"AL1 4ES",78,39,39,25
"AL1 4ET",111,50,61,37
"AL1 4EU",8,3,5,6
"AL1 4EW",15,8,7,3
"AL1 4EX",10,3,7,2
"AL1 4EY",80,39,41,24
"AL1 4EZ",9,4,5,5
"AL1 4FH",21,9,12,12
"AL1 4FJ",21,10,11,8
"AL1 4FL",10,3,7,5
"AL1 4GL",18,9,9,10
"AL1 4HA",76,38,38,33
"AL1 4HD",6,3,3,1
"AL1 4HE",53,26,27,30
"AL1 4HF",19,9,10,9
"AL1 4HG",11,5,6,4
"AL1 4HH",71,35,36,23
"AL1 4HJ",69,34,35,22
"AL1 4HL",10,3,7,3
"AL1 4HN",2,1,1,1
"AL1 4HQ",46,26,20,15
"AL1 4HW",5,3,2,1
"AL1 4HY",39,19,20,19
"AL1 4JA",7,5,2,5
"AL1 4JD",17,9,8,9
"AL1 4JE",30,15,15,12
"AL1 4JG",44,25,19,20
"AL1 4JH",41,24,17,9
"AL1 4JL",23,15,8,9
"AL1 4JP",69,31,38,22
"AL1 4JR",98,43,55,27
"AL1 4JS",56,36,20,33
"AL1 4JT",74,37,37,22
"AL1 4JU",78,33,45,24
"AL1 4JW",63,31,32,32
"AL1 4JZ",61,32,29,20
"AL1 4LA",69,32,37,21
"AL1 4LB",24,13,11,11
"AL1 4LE",83,43,40,25
"AL1 4LF",74,32,42,20
"AL1 4LG",22,14,8,14
"AL1 4LH",7,3,4,3
"AL1 4LQ",24,12,12,8
"AL1 4LR",14,9,5,11
"AL1 4LU",1,1,0,1
"AL1 4LW",12,6,6,5
"AL1 4NE",37,19,18,15
"AL1 4NF",1,1,0,1
"AL1 4NG",121,60,61,42
"AL1 4NH",11,6,5,3
"AL1 4NJ",41,23,18,15
"AL1 4NL",38,18,20,16
"AL1 4NN",22,12,10,5
"AL1 4NP",42,21,21,17
"AL1 4NQ",47,25,22,20
"AL1 4NR",44,21,23,12
"AL1 4NS",63,31,32,20
"AL1 4NT",78,33,45,22
"AL1 4NU",27,17,10,7
"AL1 4NW",41,17,24,13
"AL1 4NX",30,16,14,10
"AL1 4NY",53,24,29,19
"AL1 4NZ",15,6,9,5
"AL1 4PA",28,14,14,7
"AL1 4PB",65,34,31,24
"AL1 4PD",15,8,7,6
"AL1 4PF",19,8,11,11
"AL1 4PL",81,40,41,22
"AL1 4PN",19,11,8,8
"AL1 4PP",29,14,15,9
"AL1 4PS",50,26,24,12
"AL1 4PT",38,20,18,11
"AL1 4PU",36,20,16,15
"AL1 4PW",20,10,10,8
"AL1 4PX",38,17,21,16
"AL1 4PY",85,47,38,29
"AL1 4PZ",104,47,57,34
"AL1 4QA",37,20,17,11
"AL1 4QB",54,33,21,16
"AL1 4QD",47,26,21,15
"AL1 4QE",36,20,16,18
"AL1 4QF",38,16,22,14
"AL1 4QG",20,12,8,7
"AL1 4QH",57,27,30,22
"AL1 4QJ",65,32,33,25
"AL1 4QL",12,4,8,4
"AL1 4QN",74,28,46,39
"AL1 4QQ",57,27,30,19
"AL1 4QR",12,7,5,7
"AL1 4QU",97,51,46,34
"AL1 4QW",88,42,46,28
"AL1 4QX",76,40,36,24
"AL1 4QY",85,42,43,25
"AL1 4QZ",13,6,7,6
"AL1 4RA",5,3,2,1
"AL1 4RB",55,29,26,20
"AL1 4RD",60,32,28,22
"AL1 4RE",17,5,12,5
"AL1 4RF",19,10,9,5
"AL1 4RG",13,6,7,4
"AL1 4RH",27,15,12,8
"AL1 4RJ",112,56,56,36
"AL1 4RL",112,56,56,36
"AL1 4RQ",28,13,15,12
"AL1 4RS",56,29,27,15
"AL1 4RT",31,14,17,9
"AL1 4RU",48,21,27,19
"AL1 4RX",70,32,38,22
"AL1 4RY",95,50,45,30
"AL1 4RZ",4,1,3,2
"AL1 4SA",1,0,1,1
"AL1 4SB",10,5,5,3
"AL1 4SD",72,37,35,21
"AL1 4SE",41,24,17,16
"AL1 4SF",60,25,35,20
"AL1 4SG",57,27,30,22
"AL1 4SH",32,19,13,20
"AL1 4SJ",37,16,21,22
"AL1 4SL",43,18,25,14
"AL1 4SN",42,21,21,15
"AL1 4SQ",50,24,26,18
"AL1 4SW",24,12,12,8
"AL1 4SY",16,10,6,9
"AL1 4SZ",117,54,63,50
"AL1 4TB",7,5,2,3
"AL1 4TF",24,10,14,12
"AL1 4TG",42,19,23,21
"AL1 4TH",15,8,7,5
"AL1 4TJ",90,46,44,23
"AL1 4TL",32,17,15,12
"AL1 4TN",47,22,25,12
"AL1 4TP",62,34,28,22
"AL1 4TQ",13,8,5,4
"AL1 4TR",85,47,38,32
"AL1 4TS",95,52,43,33
"AL1 4TT",15,8,7,5
"AL1 4TU",78,38,40,27
"AL1 4TW",34,17,17,9
"AL1 4TX",19,9,10,8
"AL1 4TY",52,24,28,22
"AL1 4TZ",54,31,23,17
"AL1 4UA",22,10,12,8
"AL1 4UB",59,29,30,19
"AL1 4UD",23,10,13,10
"AL1 4UE",29,14,15,13
"AL1 4UN",134,74,60,62
"AL1 4UR",43,25,18,16
"AL1 4UT",63,29,34,24
"AL1 4UU",40,20,20,13
"AL1 4UX",80,41,39,24
"AL1 4UZ",10,5,5,3
"AL1 4XA",45,21,24,16
"AL1 4XB",52,28,24,16
"AL1 4XD",13,6,7,5
"AL1 4XE",74,39,35,22
"AL1 4XF",25,13,12,7
"AL1 4XG",70,31,39,27
"AL1 4XP",31,15,16,10
"AL1 4XR",65,32,33,24
"AL1 4XS",8,3,5,4
"AL1 4XT",9,4,5,4
"AL1 4XU",83,39,44,34
"AL1 4XX",32,16,16,10
"AL1 4XY",20,10,10,6
"AL1 4XZ",98,47,51,32
"AL1 4YA",66,33,33,23
"AL1 4YD",2,0,2,1
"AL1 5AA",40,19,21,16
"AL1 5AB",92,44,48,32
"AL1 5AD",57,21,36,20
"AL1 5AE",56,29,27,35
"AL1 5AF",39,19,20,10
"AL1 5AG",93,43,50,37
"AL1 5AH",56,31,25,28
"AL1 5AJ",10,6,4,4
"AL1 5AL",43,18,25,14
"AL1 5AN",34,17,17,12
"AL1 5AP",68,32,36,29
"AL1 5AQ",28,13,15,12
"AL1 5AS",13,6,7,3
"AL1 5AT",123,56,67,62
"AL1 5AW",66,39,27,25
"AL1 5AX",41,17,24,31
"AL1 5AY",55,32,23,34
"AL1 5BA",34,14,20,25
"AL1 5BD",7,1,6,4
"AL1 5BE",68,31,37,30
"AL1 5BJ",23,14,9,14
"AL1 5BL",129,70,59,45
"AL1 5BP",17,10,7,10
"AL1 5BQ",18,11,7,15
"AL1 5BU",26,19,7,19
"AL1 5BW",28,7,21,24
"AL1 5BX",85,39,46,32
"AL1 5BY",76,35,41,26
"AL1 5DA",54,29,25,16
"AL1 5DB",95,44,51,29
"AL1 5DD",142,68,74,53
"AL1 5DE",22,11,11,9
"AL1 5DF",2,1,1,1
"AL1 5DG",59,23,36,25
"AL1 5DH",59,30,29,23
"AL1 5DJ",31,15,16,15
"AL1 5DL",72,37,35,26
"AL1 5DN",18,9,9,12
"AL1 5DQ",111,57,54,46
"AL1 5DR",20,11,9,11
"AL1 5DW",39,22,17,17
"AL1 5DX",73,40,33,29
"AL1 5DY",39,22,17,14
"AL1 5DZ",37,16,21,15
"AL1 5EA",18,9,9,11
"AL1 5EB",69,36,33,26
"AL1 5ED",10,5,5,4
"AL1 5EE",63,31,32,32
"AL1 5EF",74,37,37,33
"AL1 5EG",14,7,7,6
"AL1 5EH",5,3,2,2
"AL1 5EJ",37,19,18,15
"AL1 5EL",48,28,20,18
"AL1 5EN",68,35,33,26
"AL1 5EP",9,5,4,2
"AL1 5EQ",6,3,3,5
"AL1 5ES",106,56,50,35
"AL1 5ET",67,32,35,22
"AL1 5EU",36,22,14,12
"AL1 5EW",11,5,6,3
"AL1 5EX",66,34,32,26
"AL1 5EY",75,37,38,32
"AL1 5EZ",22,12,10,8
"AL1 5FG",47,21,26,19
"AL1 5FH",71,36,35,42
"AL1 5FJ",23,11,12,6
"AL1 5FL",3,2,1,2
"AL1 5FN",18,6,12,5
"AL1 5FP",16,10,6,5
"AL1 5FW",4,2,2,2
"AL1 5GA",11,6,5,5
"AL1 5GW",7,5,2,5
"AL1 5GX",9,5,4,4
"AL1 5GY",4,1,3,3
"AL1 5GZ",9,5,4,4
"AL1 5HA",211,106,105,71
"AL1 5HB",208,113,95,61
"AL1 5HG",20,11,9,16
"AL1 5HL",22,15,7,10
"AL1 5HQ",36,18,18,15
"AL1 5HR",5,3,2,2
"AL1 5HS",102,50,52,34
"AL1 5HT",9,3,6,7
"AL1 5HU",59,31,28,42
"AL1 5HW",3,2,1,2
"AL1 5HZ",67,32,35,17
"AL1 5JA",81,36,45,24
"AL1 5JB",60,28,32,21
"AL1 5JD",81,40,41,26
"AL1 5JE",40,18,22,11
"AL1 5JF",31,22,9,25
"AL1 5JJ",80,46,34,26
"AL1 5JL",54,24,30,20
"AL1 5JN",97,46,51,52
"AL1 5JP",59,30,29,20
"AL1 5JQ",32,19,13,12
"AL1 5JS",132,62,70,34
"AL1 5JW",31,15,16,13
"AL1 5JX",48,22,26,17
"AL1 5JY",30,12,18,12
"AL1 5JZ",2,1,1,1
"AL1 5LA",20,11,9,8
"AL1 5LB",27,16,11,12
"AL1 5LD",70,32,38,26
"AL1 5LE",35,19,16,15
"AL1 5LF",51,25,26,15
"AL1 5LG",47,25,22,20
"AL1 5LH",38,18,20,16
