"Postcode","Total","Males","Females","Occupied_Households"
"AL6 0SQ",20,10,10,7
"AL6 0SR",19,9,10,10
"AL6 0SS",29,16,13,11
"AL6 0ST",1,0,1,1
"AL6 0SW",9,4,5,2
"AL6 0SX",3,1,2,1
"AL6 0SY",11,5,6,5
"AL6 0TA",13,8,5,10
"AL6 0TB",1,1,0,1
"AL6 0TD",24,11,13,9
"AL6 0TE",37,19,18,13
"AL6 0TF",41,20,21,16
"AL6 0TH",19,8,11,5
"AL6 0TJ",23,13,10,10
"AL6 0TL",8,6,2,3
"AL6 0TN",14,6,8,5
"AL6 0TP",37,19,18,12
"AL6 0TQ",6,3,3,3
"AL6 0TR",24,13,11,10
"AL6 0TS",18,6,12,6
"AL6 0TT",45,26,19,18
"AL6 0TU",43,20,23,13
"AL6 0TW",25,12,13,10
"AL6 0TX",35,18,17,12
"AL6 0TY",78,39,39,27
"AL6 0TZ",10,3,7,3
"AL6 0UA",4,2,2,3
"AL6 0UB",37,20,17,15
"AL6 0UD",29,13,16,13
"AL6 0UE",16,6,10,8
"AL6 0UG",69,35,34,27
"AL6 0UH",12,7,5,5
"AL6 0UJ",11,5,6,5
"AL6 0UL",117,59,58,43
"AL6 0UN",34,20,14,10
"AL6 0UQ",11,5,6,5
"AL6 0UR",35,18,17,16
"AL6 0UU",36,21,15,12
"AL6 0UW",25,11,14,9
"AL6 0UX",14,7,7,7
"AL6 0UY",44,18,26,18
"AL6 0UZ",7,5,2,3
"AL6 0XB",16,8,8,4
"AL6 0XD",57,30,27,26
"AL6 0XE",24,11,13,16
"AL6 0XF",5,3,2,4
"AL6 0XG",15,7,8,7
"AL6 0XH",26,14,12,12
"AL6 0XQ",4,2,2,4
"AL6 9AA",1,0,1,1
"AL6 9AB",33,17,16,16
"AL6 9AD",4,2,2,2
"AL6 9AE",21,12,9,8
"AL6 9AF",14,8,6,5
"AL6 9AH",2,1,1,1
"AL6 9AJ",3,0,3,1
"AL6 9AL",15,8,7,5
"AL6 9AS",12,5,7,5
"AL6 9AU",52,22,30,34
"AL6 9BA",5,5,0,4
"AL6 9BB",19,9,10,9
"AL6 9BD",14,7,7,4
"AL6 9BG",22,12,10,8
"AL6 9BH",12,8,4,6
"AL6 9BJ",3,2,1,1
"AL6 9BL",7,3,4,3
"AL6 9BN",2,1,1,1
"AL6 9BP",29,15,14,9
"AL6 9BQ",3,2,1,1
"AL6 9BS",6,3,3,2
"AL6 9BT",15,6,9,6
"AL6 9BU",5,2,3,3
"AL6 9BW",9,4,5,5
"AL6 9BX",19,9,10,7
"AL6 9BY",7,2,5,3
"AL6 9BZ",3,1,2,2
"AL6 9DA",6,3,3,3
"AL6 9DB",6,2,4,3
"AL6 9DF",7,3,4,3
"AL6 9DL",74,42,32,23
"AL6 9DN",19,7,12,6
"AL6 9DP",3,1,2,1
"AL6 9DQ",109,58,51,48
"AL6 9DS",5,2,3,2
"AL6 9DW",58,26,32,21
"AL6 9DY",3,1,2,2
"AL6 9DZ",3,2,1,2
"AL6 9EA",34,18,16,14
"AL6 9ED",5,3,2,3
"AL6 9EE",13,9,4,7
"AL6 9EG",1,0,1,1
"AL6 9EH",11,5,6,6
"AL6 9EJ",4,2,2,4
"AL6 9EL",14,7,7,4
"AL6 9EN",34,19,15,13
"AL6 9EQ",7,4,3,5
"AL6 9ER",5,3,2,1
"AL6 9ES",14,9,5,7
"AL6 9ET",32,13,19,18
"AL6 9EU",13,7,6,7
"AL6 9EX",8,4,4,7
"AL6 9EY",13,6,7,6
"AL6 9EZ",9,3,6,8
"AL6 9FB",10,3,7,7
"AL6 9FD",114,59,55,48
"AL6 9FE",90,43,47,42
"AL6 9FJ",26,11,15,7
"AL6 9HA",44,24,20,26
"AL6 9HB",57,28,29,23
"AL6 9HN",9,6,3,9
"AL6 9HQ",19,4,15,13
"AL6 9HR",6,3,3,3
"AL6 9HS",61,29,32,22
"AL6 9HT",2,1,1,1
"AL6 9HU",15,7,8,6
"AL6 9HX",24,12,12,10
"AL6 9HY",37,13,24,14
"AL6 9HZ",10,7,3,7
"AL6 9JA",10,5,5,5
"AL6 9JB",17,4,13,6
"AL6 9JD",13,8,5,6
"AL6 9JE",86,44,42,35
"AL6 9JG",98,50,48,33
"AL6 9JH",25,10,15,13
"AL6 9JJ",49,25,24,22
"AL6 9JL",9,4,5,6
"AL6 9JN",28,13,15,16
"AL6 9JP",34,16,18,14
"AL6 9JQ",48,24,24,17
"AL6 9JR",28,12,16,14
"AL6 9JS",3,2,1,2
"AL6 9JT",19,7,12,15
"AL6 9JU",19,6,13,8
"AL6 9JW",27,15,12,10
"AL6 9JX",6,1,5,6
"AL6 9JY",34,16,18,18
"AL6 9JZ",37,13,24,14
"AL6 9LA",42,21,21,24
"AL6 9LB",20,9,11,9
"AL6 9LD",21,12,9,10
"AL6 9LE",8,3,5,4
"AL6 9LF",69,30,39,37
"AL6 9LH",7,3,4,4
"AL6 9LL",1,0,1,1
"AL6 9LN",12,4,8,5
"AL6 9LP",1,0,1,1
"AL6 9LR",34,16,18,19
"AL6 9LS",6,3,3,1
"AL6 9LT",42,21,21,21
"AL6 9LU",12,5,7,9
"AL6 9LW",7,2,5,3
"AL6 9LX",19,9,10,8
"AL6 9NA",3,1,2,2
"AL6 9NB",4,2,2,1
"AL6 9ND",4,2,2,3
"AL6 9NE",6,4,2,2
"AL6 9NG",4,2,2,1
"AL6 9NJ",4,2,2,2
"AL6 9NL",8,4,4,3
"AL6 9NN",27,11,16,11
"AL6 9NP",12,6,6,5
"AL6 9NQ",25,13,12,11
"AL6 9NR",6,2,4,4
"AL6 9NS",33,16,17,13
"AL6 9NT",1,1,0,1
"AL6 9NU",7,2,5,4
"AL6 9NW",86,45,41,33
"AL6 9NX",51,28,23,17
"AL6 9PA",10,5,5,5
"AL6 9PB",85,38,47,33
"AL6 9PD",14,7,7,6
"AL6 9PE",13,6,7,11
"AL6 9PF",16,7,9,10
"AL6 9PG",37,21,16,13
"AL6 9PH",38,19,19,18
"AL6 9PJ",26,14,12,9
"AL6 9PL",51,29,22,16
"AL6 9PN",37,18,19,15
"AL6 9PP",58,31,27,18
"AL6 9PQ",24,13,11,11
"AL6 9PR",50,26,24,18
"AL6 9PS",82,44,38,28
"AL6 9PT",101,45,56,33
"AL6 9PU",62,31,31,25
"AL6 9PW",1,1,0,0
"AL6 9PX",63,31,32,28
"AL6 9PY",27,12,15,19
"AL6 9PZ",21,13,8,7
"AL6 9QA",25,11,14,9
"AL6 9QB",12,6,6,4
"AL6 9QD",12,7,5,5
"AL6 9QE",15,7,8,5
"AL6 9QF",9,5,4,3
"AL6 9RA",15,8,7,6
"AL6 9RB",40,19,21,15
"AL6 9RD",39,18,21,15
"AL6 9RE",66,33,33,28
"AL6 9RF",33,17,16,11
"AL6 9RG",37,20,17,13
"AL6 9RH",22,10,12,8
"AL6 9RJ",32,13,19,14
"AL6 9RL",12,4,8,5
"AL6 9RN",38,16,22,14
"AL6 9RP",48,24,24,19
"AL6 9RQ",30,16,14,12
"AL6 9RR",14,7,7,6
"AL6 9RS",23,12,11,7
"AL6 9RW",33,15,18,11
"AL6 9SA",52,22,30,21
"AL6 9SB",2,1,1,0
"AL6 9SD",3,2,1,1
"AL6 9SE",21,12,9,7
"AL6 9SF",22,12,10,7
"AL6 9SG",16,7,9,6
"AL6 9SH",16,8,8,7
"AL6 9SJ",6,4,2,2
"AL6 9SN",79,24,55,4
"AL6 9SP",20,9,11,13
"AL6 9SQ",26,13,13,10
"AL6 9SS",11,7,4,6
"AL6 9ST",48,25,23,15
"AL6 9SU",53,24,29,19
"AL6 9SW",51,27,24,28
"AL6 9SX",2,2,0,1
"AL6 9SY",35,19,16,14
"AL6 9SZ",12,7,5,6
"AL6 9TA",13,7,6,4
"AL6 9TB",5,3,2,2
"AL6 9TD",9,3,6,4
"AL6 9TE",18,8,10,5
"AL6 9TF",17,8,9,6
"AL6 9TG",6,3,3,2
"AL6 9TJ",14,6,8,3
"AL6 9TP",77,38,39,28
"AL6 9TQ",15,6,9,5
"AL6 9TR",9,3,6,3
"AL6 9TS",23,12,11,10
"AL6 9TT",28,14,14,14
"AL6 9TU",7,4,3,3
"AL6 9TX",42,24,18,16
"AL6 9TY",47,26,21,19
"AL6 9UA",48,23,25,16
"AL6 9UB",26,11,15,10
"AL6 9UD",2,1,1,1
"AL6 9UE",18,7,11,5
"AL6 9UF",24,13,11,10
"AL6 9UG",12,7,5,3
"AL6 9UH",3,1,2,1
"AL6 9UJ",9,5,4,6
"AL6 9UQ",5,4,1,1
"AL7 1AJ",1,1,0,1
"AL7 1AU",1,1,0,1
"AL7 1BX",81,38,43,36
"AL7 1BY",46,21,25,20
"AL7 1DA",20,8,12,12
"AL7 1DB",61,32,29,34
"AL7 1DD",3,2,1,2
"AL7 1DE",17,5,12,9
"AL7 1DG",41,18,23,17
"AL7 1DH",55,31,24,19
"AL7 1DJ",32,17,15,19
"AL7 1DL",102,44,58,41
"AL7 1DN",33,15,18,11
"AL7 1DP",53,24,29,20
"AL7 1DQ",48,21,27,26
"AL7 1DR",27,14,13,9
"AL7 1DS",38,18,20,21
"AL7 1DU",55,26,29,26
"AL7 1DW",69,34,35,23
"AL7 1DX",88,45,43,32
"AL7 1DZ",90,48,42,31
"AL7 1EA",44,13,31,15
"AL7 1EB",40,19,21,19
"AL7 1ED",4,1,3,2
"AL7 1EE",75,38,37,26
"AL7 1EF",13,4,9,10
"AL7 1EG",62,35,27,21
"AL7 1EN",5,2,3,2
"AL7 1EQ",13,6,7,9
"AL7 1FF",31,14,17,12
"AL7 1FG",136,72,64,45
"AL7 1FH",33,19,14,17
"AL7 1FJ",30,14,16,12
"AL7 1FL",29,15,14,12
"AL7 1FN",53,26,27,19
"AL7 1FP",32,17,15,12
"AL7 1FQ",91,40,51,36
"AL7 1FR",59,29,30,26
"AL7 1GY",63,37,26,38
"AL7 1GZ",65,32,33,36
"AL7 1HN",123,65,58,53
"AL7 1HQ",19,8,11,6
"AL7 1HR",15,7,8,6
"AL7 1JU",2,0,2,1
"AL7 1NA",52,27,25,26
"AL7 1NB",7,3,4,5
"AL7 1ND",77,35,42,37
"AL7 1NE",14,7,7,6
"AL7 1NF",24,13,11,10
"AL7 1NG",29,13,16,10
"AL7 1NH",9,5,4,4
"AL7 1NJ",111,59,52,54
"AL7 1NL",31,13,18,15
"AL7 1NN",57,23,34,22
"AL7 1NP",28,15,13,12
"AL7 1NQ",61,29,32,28
"AL7 1NR",34,16,18,12
"AL7 1NS",32,15,17,12
"AL7 1NT",63,32,31,25
"AL7 1NU",7,4,3,2
"AL7 1NW",33,17,16,13
"AL7 1NX",19,7,12,12
"AL7 1NY",8,5,3,8
"AL7 1NZ",103,52,51,33
"AL7 1PA",7,3,4,4
"AL7 1PB",47,18,29,19
"AL7 1PD",65,36,29,31
"AL7 1PE",9,2,7,6
"AL7 1PF",34,17,17,17
"AL7 1PG",60,31,29,29
"AL7 1PH",10,5,5,3
"AL7 1PJ",28,12,16,20
"AL7 1PL",41,20,21,16
"AL7 1PN",40,16,24,14
"AL7 1PP",28,14,14,9
"AL7 1PQ",20,11,9,7
"AL7 1PR",8,3,5,4
"AL7 1PS",10,8,2,9
"AL7 1PW",21,8,13,14
"AL7 1PZ",5,1,4,2
"AL7 1QD",43,21,22,17
"AL7 1QE",18,8,10,8
"AL7 1QF",66,33,33,25
"AL7 1QG",67,37,30,25
"AL7 1QH",36,19,17,15
"AL7 1QJ",27,13,14,10
"AL7 1QL",53,29,24,20
"AL7 1QN",60,25,35,22
"AL7 1QP",43,17,26,13
"AL7 1QQ",56,28,28,22
"AL7 1QR",76,39,37,29
"AL7 1QS",5,3,2,3
"AL7 1QT",113,51,62,36
"AL7 1QU",32,16,16,15
"AL7 1QW",55,26,29,25
"AL7 1QX",33,14,19,14
"AL7 1QY",76,37,39,30
"AL7 1QZ",29,17,12,23
"AL7 1RB",19,8,11,8
"AL7 1RD",35,16,19,20
"AL7 1RE",78,36,42,29
"AL7 1RF",39,18,21,14
"AL7 1RG",43,21,22,17
"AL7 1RH",24,12,12,8
"AL7 1RJ",25,11,14,10
"AL7 1RL",40,18,22,21
"AL7 1RN",36,20,16,22
"AL7 1RP",16,6,10,11
"AL7 1RQ",9,4,5,3
"AL7 1RW",11,3,8,10
"AL7 1SD",125,58,67,55
"AL7 1SE",76,39,37,33
"AL7 1SF",124,63,61,59
"AL7 1TP",37,15,22,14
"AL7 1TR",63,24,39,33
"AL7 1UA",45,29,16,16
"AL7 1UB",54,28,26,26
"AL7 1UD",32,17,15,14
"AL7 1UE",52,23,29,17
"AL7 1UF",42,20,22,19
"AL7 1UG",81,39,42,36
"AL7 1UH",17,8,9,5
"AL7 1UJ",23,11,12,8
"AL7 1UL",55,26,29,28
"AL7 1UN",75,35,40,39
"AL7 1UP",39,19,20,29
"AL7 1UQ",49,23,26,26
"AL7 1UW",62,29,33,33
"AL7 2AD",6,3,3,2
"AL7 2AF",3,2,1,1
"AL7 2AG",65,32,33,22
"AL7 2AH",53,24,29,22
"AL7 2AJ",24,11,13,10
"AL7 2AL",45,27,18,16
"AL7 2AN",72,36,36,24
"AL7 2AP",30,14,16,16
"AL7 2AQ",24,10,14,9
"AL7 2AR",19,9,10,8
"AL7 2AS",61,28,33,26
"AL7 2AT",22,12,10,6
"AL7 2AU",13,6,7,5
"AL7 2AW",22,14,8,6
"AL7 2AX",35,14,21,11
"AL7 2AY",26,9,17,26
"AL7 2AZ",17,10,7,5
"AL7 2BA",38,20,18,12
"AL7 2BB",6,3,3,4
"AL7 2BD",76,40,36,37
"AL7 2BE",87,40,47,36
"AL7 2BF",51,23,28,24
"AL7 2BG",31,17,14,19
"AL7 2BJ",26,12,14,12
"AL7 2BL",20,12,8,6
"AL7 2BN",38,20,18,12
"AL7 2BP",42,22,20,31
"AL7 2BQ",24,17,7,17
"AL7 2BS",31,10,21,29
"AL7 2BT",51,26,25,27
"AL7 2BW",44,19,25,16
"AL7 2DA",7,4,3,2
"AL7 2DB",8,3,5,3
"AL7 2DG",30,15,15,9
"AL7 2DH",42,21,21,15
"AL7 2DJ",9,4,5,5
"AL7 2DL",62,32,30,30
"AL7 2DN",32,15,17,17
"AL7 2DP",51,24,27,24
"AL7 2DQ",17,9,8,6
"AL7 2DR",88,50,38,42
"AL7 2DS",46,22,24,22
"AL7 2DU",55,29,26,23
"AL7 2DW",76,42,34,34
"AL7 2DX",55,27,28,20
"AL7 2DY",66,34,32,24
"AL7 2DZ",61,30,31,24
"AL7 2EA",60,32,28,23
"AL7 2EB",4,2,2,2
"AL7 2ED",4,2,2,2
"AL7 2EE",22,10,12,10
"AL7 2EF",57,21,36,20
"AL7 2EG",41,23,18,15
"AL7 2EH",115,61,54,54
"AL7 2EJ",52,31,21,15
"AL7 2EL",49,22,27,30
"AL7 2EN",77,37,40,46
"AL7 2EP",65,29,36,28
"AL7 2EQ",21,11,10,8
"AL7 2ER",39,28,11,29
"AL7 2ES",82,49,33,59
"AL7 2EU",19,7,12,14
"AL7 2EW",57,31,26,31
"AL7 2EX",28,19,9,24
"AL7 2HA",115,54,61,67
"AL7 2HB",4,2,2,2
"AL7 2HD",100,44,56,45
"AL7 2HE",103,45,58,38
"AL7 2HF",118,59,59,51
"AL7 2HG",109,62,47,46
"AL7 2HH",22,11,11,7
"AL7 2HJ",107,58,49,47
"AL7 2HL",113,54,59,49
"AL7 2HN",32,19,13,13
"AL7 2HP",18,9,9,7
"AL7 2HQ",63,37,26,48
"AL7 2HR",88,46,42,29
"AL7 2HS",81,38,43,28
"AL7 2HT",95,47,48,35
"AL7 2HU",47,22,25,17
"AL7 2HW",48,22,26,17
"AL7 2HX",18,10,8,8
"AL7 2HY",52,24,28,29
"AL7 2HZ",47,25,22,26
"AL7 2JA",78,38,40,45
"AL7 2JB",76,21,55,25
"AL7 2JD",1,0,1,1
"AL7 2JG",48,17,31,25
"AL7 2JH",33,14,19,18
"AL7 2JJ",26,12,14,16
"AL7 2JL",20,11,9,7
"AL7 2JN",16,9,7,5
"AL7 2JP",83,43,40,31
"AL7 2JQ",37,19,18,17
"AL7 2JR",46,24,22,20
"AL7 2JS",48,27,21,18
"AL7 2JT",30,17,13,12
"AL7 2JU",77,41,36,39
"AL7 2JW",58,32,26,21
"AL7 2JX",48,21,27,25
"AL7 2LA",20,10,10,8
"AL7 2LB",72,41,31,34
"AL7 2LD",65,36,29,33
"AL7 2LE",48,24,24,19
"AL7 2LF",48,24,24,15
"AL7 2LG",28,12,16,11
"AL7 2LH",85,47,38,38
"AL7 2LJ",26,15,11,10
"AL7 2LL",40,18,22,14
"AL7 2LN",38,20,18,13
"AL7 2LP",10,4,6,6
"AL7 2LQ",33,17,16,13
"AL7 2LR",63,27,36,28
"AL7 2LS",41,20,21,35
"AL7 2LT",54,26,28,46
"AL7 2LU",16,14,2,15
"AL7 2LW",51,28,23,26
"AL7 2LX",16,7,9,8
"AL7 2LY",16,6,10,7
"AL7 2LZ",6,2,4,2
"AL7 2NA",35,22,13,12
"AL7 2NB",70,35,35,28
"AL7 2ND",16,6,10,8
"AL7 2NE",28,13,15,15
"AL7 2NF",13,4,9,5
"AL7 2NG",21,9,12,8
"AL7 2NH",28,15,13,9
"AL7 2NJ",26,14,12,8
"AL7 2NL",53,28,25,29
"AL7 2NN",128,61,67,49
"AL7 2NP",75,39,36,50
"AL7 2NQ",26,14,12,9
"AL7 2PA",108,55,53,52
"AL7 2PB",54,32,22,25
"AL7 2PD",42,20,22,16
"AL7 2PE",62,30,32,20
"AL7 2PF",58,24,34,19
"AL7 2PG",17,10,7,8
"AL7 2PH",69,37,32,31
"AL7 2PJ",25,10,15,14
"AL7 2PL",27,15,12,9
"AL7 2PN",31,15,16,16
"AL7 2PP",64,31,33,23
"AL7 2PQ",62,38,24,40
"AL7 2PR",59,30,29,21
"AL7 2PS",52,23,29,21
"AL7 2PT",92,45,47,29
"AL7 2PU",32,17,15,11
"AL7 2PW",62,30,32,26
"AL7 2PX",34,15,19,11
"AL7 2PY",56,29,27,24
"AL7 2PZ",102,50,52,35
"AL7 2QA",143,79,64,57
"AL7 2QF",70,39,31,29
"AL7 2QG",82,50,32,26
"AL7 2QH",40,21,19,14
"AL7 2QJ",35,16,19,19
"AL7 2QL",29,13,16,10
"AL7 2RG",26,4,22,22
"AL7 2RH",42,14,28,31
"AL7 3AB",62,23,39,25
"AL7 3AE",10,6,4,5
"AL7 3AF",59,31,28,23
"AL7 3AG",31,12,19,19
"AL7 3AJ",35,18,17,14
"AL7 3BA",39,15,24,28
"AL7 3BB",33,10,23,26
"AL7 3BH",39,20,19,23
"AL7 3BN",48,22,26,15
"AL7 3BX",79,30,49,25
"AL7 3DA",35,18,17,11
"AL7 3DB",68,33,35,26
"AL7 3DD",60,31,29,19
"AL7 3DE",80,34,46,30
"AL7 3DF",25,11,14,10
"AL7 3DG",107,45,62,47
"AL7 3DJ",26,17,9,8
"AL7 3DQ",1,0,1,1
"AL7 3DU",83,45,38,29
"AL7 3DX",18,9,9,6
"AL7 3DY",19,7,12,9
"AL7 3DZ",27,14,13,12
"AL7 3EA",86,42,44,31
"AL7 3EB",85,37,48,36
"AL7 3EJ",31,17,14,13
"AL7 3EL",8,4,4,3
"AL7 3EN",11,5,6,8
"AL7 3EP",82,38,44,34
"AL7 3ER",12,5,7,7
"AL7 3ES",28,11,17,13
"AL7 3ET",14,6,8,5
"AL7 3EU",72,35,37,27
"AL7 3EW",50,28,22,24
"AL7 3EX",65,31,34,20
"AL7 3EY",26,11,15,8
"AL7 3EZ",97,43,54,41
"AL7 3HA",15,7,8,8
"AL7 3HB",50,27,23,17
"AL7 3HD",27,13,14,11
"AL7 3HE",42,19,23,19
"AL7 3HF",28,12,16,12
"AL7 3HG",37,17,20,20
"AL7 3HH",43,19,24,19
"AL7 3HJ",60,25,35,25
"AL7 3HL",46,18,28,16
"AL7 3HN",44,25,19,13
"AL7 3HQ",20,8,12,7
"AL7 3HR",94,38,56,42
"AL7 3HS",14,9,5,11
"AL7 3HT",11,6,5,11
"AL7 3HW",44,21,23,16
"AL7 3HX",97,46,51,25
"AL7 3HY",17,12,5,11
"AL7 3HZ",98,48,50,37
"AL7 3JA",7,2,5,3
"AL7 3JD",53,25,28,16
"AL7 3JE",16,9,7,5
"AL7 3JF",37,20,17,13
"AL7 3JG",34,17,17,12
"AL7 3JH",109,50,59,35
"AL7 3JJ",7,3,4,3
"AL7 3JN",28,11,17,12
"AL7 3JP",15,8,7,3
"AL7 3JQ",62,26,36,26
"AL7 3JR",10,6,4,8
"AL7 3JS",42,20,22,14
"AL7 3JT",114,55,59,48
"AL7 3JU",40,21,19,13
"AL7 3JW",44,22,22,27
"AL7 3JX",98,45,53,36
"AL7 3JY",132,59,73,47
"AL7 3JZ",64,30,34,26
"AL7 3LA",19,8,11,12
"AL7 3LB",29,11,18,20
"AL7 3LD",11,6,5,4
"AL7 3LE",38,17,21,18
"AL7 3LF",21,8,13,16
"AL7 3LG",5,3,2,4
"AL7 3LH",17,5,12,8
"AL7 3LJ",75,36,39,27
"AL7 3LL",53,25,28,20
"AL7 3LN",12,6,6,6
"AL7 3LP",68,38,30,21
"AL7 3LQ",67,37,30,27
"AL7 3LR",31,20,11,24
"AL7 3LS",59,27,32,19
"AL7 3LT",87,35,52,25
"AL7 3LW",153,68,85,57
"AL7 3LX",53,27,26,27
"AL7 3LY",15,6,9,11
"AL7 3LZ",15,5,10,12
"AL7 3NA",98,43,55,46
"AL7 3NB",15,6,9,7
"AL7 3ND",12,7,5,7
"AL7 3NE",51,22,29,14
"AL7 3NF",112,52,60,35
"AL7 3NG",58,28,30,20
"AL7 3NH",58,28,30,19
"AL7 3NJ",39,19,20,14
"AL7 3NL",107,55,52,34
"AL7 3NN",46,18,28,16
"AL7 3NP",86,46,40,30
"AL7 3NQ",67,30,37,20
"AL7 3NR",14,9,5,6
"AL7 3NS",90,52,38,40
"AL7 3NT",128,59,69,45
"AL7 3NU",50,27,23,14
"AL7 3NW",83,46,37,29
"AL7 3NX",58,29,29,24
"AL7 3NY",68,28,40,22
"AL7 3NZ",71,26,45,19
"AL7 3PA",18,12,6,12
"AL7 3PB",127,59,68,49
"AL7 3PD",55,32,23,31
"AL7 3PG",16,10,6,6
"AL7 3PH",62,20,42,46
"AL7 3PJ",4,1,3,3
"AL7 3PL",71,35,36,32
"AL7 3PN",46,19,27,20
"AL7 3PU",54,33,21,29
"AL7 3PW",34,18,16,14
"AL7 3PX",32,17,15,20
"AL7 3PY",35,16,19,11
"AL7 3PZ",33,17,16,10
"AL7 3QA",72,35,37,33
"AL7 3QB",22,9,13,9
"AL7 3QD",82,38,44,27
"AL7 3QE",51,28,23,22
"AL7 3QF",45,18,27,26
"AL7 3QG",28,11,17,13
"AL7 3QH",7,4,3,6
"AL7 3QJ",23,12,11,7
"AL7 3QL",9,6,3,8
"AL7 3QN",8,6,2,6
"AL7 3QP",14,8,6,9
"AL7 3QQ",69,27,42,39
"AL7 3QR",9,5,4,8
"AL7 3QS",64,31,33,18
"AL7 3QT",112,48,64,30
"AL7 3QW",14,9,5,9
"AL7 3QZ",6,2,4,4
"AL7 3RA",18,7,11,8
"AL7 3RB",26,11,15,8
"AL7 3RD",28,14,14,9
"AL7 3RE",70,32,38,26
"AL7 3RF",91,43,48,25
"AL7 3RG",75,33,42,24
"AL7 3RH",21,9,12,8
"AL7 3RJ",60,25,35,22
"AL7 3RL",72,35,37,36
"AL7 3RN",10,3,7,4
"AL7 3RQ",23,12,11,10
"AL7 3RR",73,35,38,24
"AL7 3RS",72,34,38,25
"AL7 3RT",68,28,40,24
"AL7 3RU",28,15,13,9
"AL7 3RW",77,31,46,28
"AL7 3RX",125,60,65,38
"AL7 3RY",37,11,26,14
"AL7 3RZ",29,10,19,12
"AL7 3SA",54,29,25,16
"AL7 3SB",92,39,53,30
"AL7 3SD",68,39,29,23
"AL7 3SH",77,38,39,35
"AL7 3SJ",43,19,24,25
"AL7 3SN",65,33,32,28
"AL7 3SR",44,22,22,19
"AL7 3ST",97,45,52,31
"AL7 3SX",69,35,34,24
"AL7 3SY",68,33,35,32
"AL7 3TB",55,23,32,22
"AL7 3TD",144,74,70,57
"AL7 3TE",55,23,32,39
"AL7 3TF",58,27,31,20
"AL7 3TG",18,11,7,8
"AL7 3TH",33,17,16,14
"AL7 3TJ",20,6,14,8
"AL7 3TL",73,38,35,33
"AL7 3TN",17,7,10,6
"AL7 3TP",14,6,8,7
"AL7 3TQ",122,65,57,46
"AL7 3TR",25,12,13,8
"AL7 3TS",108,51,57,40
"AL7 3TT",72,42,30,44
"AL7 3TU",154,73,81,54
"AL7 3TW",52,30,22,20
"AL7 3UA",20,10,10,6
"AL7 3UD",12,8,4,4
"AL7 3UE",34,17,17,12
"AL7 3UH",16,7,9,8
"AL7 3UL",100,75,25,0
"AL7 3UN",13,7,6,11
"AL7 3UP",21,13,8,18
"AL7 3UU",10,5,5,6
"AL7 3UX",90,47,43,44
"AL7 3UZ",35,19,16,19
"AL7 3XA",32,19,13,15
"AL7 3XB",31,17,14,16
"AL7 3XE",82,38,44,26
"AL7 3XF",101,45,56,36
"AL7 3XG",40,19,21,13
"AL7 3XH",58,25,33,24
"AL7 3XJ",58,27,31,21
"AL7 3XL",32,15,17,14
"AL7 3XN",111,51,60,33
"AL7 3XP",88,41,47,40
"AL7 3XW",52,25,27,16
"AL7 4AA",4,1,3,2
"AL7 4AB",6,2,4,2
"AL7 4AD",52,26,26,20
"AL7 4AE",99,50,49,42
"AL7 4AF",16,9,7,8
"AL7 4AG",105,56,49,38
"AL7 4AH",74,36,38,25
"AL7 4AJ",49,24,25,20
"AL7 4AL",57,28,29,24
"AL7 4AN",91,41,50,32
"AL7 4AP",57,27,30,21
"AL7 4AQ",120,59,61,50
"AL7 4AR",112,57,55,42
"AL7 4AS",20,14,6,7
"AL7 4AW",31,18,13,12
"AL7 4BA",24,12,12,8
"AL7 4BB",28,15,13,10
"AL7 4BD",25,11,14,8
"AL7 4BE",44,25,19,20
"AL7 4BG",37,19,18,15
"AL7 4BJ",40,24,16,16
"AL7 4BL",21,9,12,11
"AL7 4BN",20,11,9,8
"AL7 4BP",38,17,21,15
"AL7 4BQ",25,12,13,9
"AL7 4BS",65,31,34,29
"AL7 4BT",52,23,29,25
"AL7 4DA",37,17,20,35
"AL7 4DB",83,35,48,33
"AL7 4DF",81,39,42,29
"AL7 4DG",45,18,27,18
"AL7 4DH",28,10,18,10
"AL7 4DJ",66,28,38,23
"AL7 4DL",11,6,5,4
"AL7 4DN",54,31,23,24
"AL7 4DP",50,23,27,15
"AL7 4DQ",48,22,26,21
"AL7 4DR",39,16,23,13
"AL7 4DS",55,27,28,20
"AL7 4DU",56,26,30,24
"AL7 4DW",43,20,23,17
"AL7 4DX",41,22,19,14
"AL7 4DY",57,31,26,22
"AL7 4DZ",8,7,1,6
"AL7 4EA",14,7,7,6
"AL7 4EB",49,18,31,23
"AL7 4ED",55,25,30,18
"AL7 4EE",115,52,63,40
"AL7 4EF",8,4,4,3
"AL7 4EG",133,65,68,49
"AL7 4EH",1,1,0,1
"AL7 4EJ",12,7,5,6
"AL7 4EQ",55,30,25,17
"AL7 4ET",100,45,55,39
"AL7 4EU",81,39,42,32
"AL7 4EW",9,4,5,6
"AL7 4EX",21,11,10,9
"AL7 4EY",68,30,38,28
"AL7 4EZ",35,16,19,15
"AL7 4FA",30,11,19,12
"AL7 4FB",74,32,42,20
"AL7 4FD",31,12,19,10
"AL7 4FE",49,21,28,27
"AL7 4FF",49,29,20,21
"AL7 4FG",164,77,87,60
"AL7 4FH",121,59,62,39
"AL7 4FJ",65,37,28,30
"AL7 4FL",59,29,30,29
"AL7 4FN",12,7,5,3
