"Postcode","Total","Males","Females","Occupied_Households"
"B26 2DU",3,1,2,0
"B26 2EA",70,36,34,28
"B26 2EB",106,56,50,39
"B26 2ED",60,28,32,22
"B26 2EE",46,21,25,22
"B26 2EG",48,26,22,21
"B26 2EH",70,34,36,27
"B26 2EJ",118,49,69,48
"B26 2EL",24,6,18,12
"B26 2EN",38,18,20,11
"B26 2EP",26,14,12,8
"B26 2EQ",47,21,26,21
"B26 2ER",90,39,51,38
"B26 2ES",57,28,29,22
"B26 2ET",59,26,33,23
"B26 2EU",65,29,36,19
"B26 2EW",76,33,43,27
"B26 2EX",128,59,69,47
"B26 2EY",69,27,42,28
"B26 2HA",33,22,11,16
"B26 2HB",26,11,15,9
"B26 2HD",86,43,43,27
"B26 2HE",72,36,36,29
"B26 2HN",23,9,14,12
"B26 2HP",36,19,17,15
"B26 2HR",102,48,54,43
"B26 2HS",60,27,33,23
"B26 2HT",174,80,94,62
"B26 2HU",80,39,41,37
"B26 2HW",102,50,52,43
"B26 2HX",12,7,5,5
"B26 2HY",80,45,35,35
"B26 2JA",139,71,68,46
"B26 2JB",28,14,14,13
"B26 2JD",134,65,69,56
"B26 2JE",35,20,15,12
"B26 2JG",75,39,36,35
"B26 2JH",16,6,10,4
"B26 2JJ",39,22,17,18
"B26 2JL",9,5,4,4
"B26 2JN",69,39,30,28
"B26 2JU",45,22,23,20
"B26 2JX",44,23,21,17
"B26 2JY",41,24,17,16
"B26 2LA",19,9,10,6
"B26 2LB",27,13,14,14
"B26 2LD",101,49,52,33
"B26 2LE",47,23,24,17
"B26 2LG",91,46,45,40
"B26 2LH",27,14,13,10
"B26 2LJ",120,60,60,46
"B26 2LL",75,34,41,29
"B26 2LN",67,37,30,24
"B26 2LP",30,16,14,15
"B26 2LR",90,50,40,34
"B26 2LS",31,15,16,15
"B26 2LT",5,3,2,2
"B26 2LW",115,55,60,44
"B26 2NA",17,10,7,11
"B26 2NB",12,6,6,6
"B26 2ND",41,17,24,14
"B26 2NE",64,32,32,28
"B26 2NG",140,74,66,51
"B26 2NH",18,9,9,6
"B26 2NJ",110,52,58,43
"B26 2NL",47,22,25,23
"B26 2NN",42,21,21,17
"B26 2NP",107,48,59,45
"B26 2NR",101,45,56,48
"B26 2NS",27,13,14,10
"B26 2NT",85,42,43,38
"B26 2NU",66,28,38,19
"B26 2NX",103,56,47,41
"B26 2NY",28,15,13,11
"B26 2PA",65,29,36,20
"B26 2PB",116,53,63,42
"B26 2PD",60,32,28,23
"B26 2PE",16,7,9,8
"B26 2PP",103,49,54,49
"B26 2PR",10,6,4,4
"B26 2PS",21,11,10,7
"B26 2PT",27,14,13,9
"B26 2PU",61,25,36,28
"B26 2PX",49,19,30,24
"B26 2PY",76,40,36,30
"B26 2QA",65,31,34,25
"B26 2QB",18,9,9,6
"B26 2QD",44,21,23,18
"B26 2QE",45,23,22,18
"B26 2QF",122,61,61,38
"B26 2QG",88,43,45,33
"B26 2QH",38,16,22,23
"B26 2QJ",50,19,31,12
"B26 2QL",10,6,4,5
"B26 2QN",20,10,10,8
"B26 2QP",54,27,27,27
"B26 2QQ",43,26,17,10
"B26 2QR",9,2,7,7
"B26 2QS",33,16,17,20
"B26 2QT",27,14,13,14
"B26 2QU",54,22,32,35
"B26 2QX",69,29,40,29
"B26 2QY",65,30,35,32
"B26 2RA",6,2,4,4
"B26 2RJ",15,4,11,5
"B26 2RL",30,14,16,10
"B26 2RP",62,28,34,24
"B26 2RR",44,22,22,18
"B26 2RS",78,38,40,26
"B26 2RT",62,33,29,26
"B26 2RU",6,4,2,4
"B26 2RY",93,52,41,58
"B26 2RZ",57,31,26,31
"B26 2SA",62,32,30,22
"B26 2SB",55,26,29,20
"B26 2SD",80,40,40,24
"B26 2SE",55,30,25,21
"B26 2SG",46,24,22,17
"B26 2SH",120,60,60,33
"B26 2SJ",37,16,21,13
"B26 2SL",38,15,23,18
"B26 2SN",33,20,13,17
"B26 2SP",8,3,5,6
"B26 2SU",37,16,21,12
"B26 2SW",37,14,23,16
"B26 2SX",103,50,53,23
"B26 2SY",41,19,22,15
"B26 2TA",28,14,14,10
"B26 2TB",27,14,13,12
"B26 2TD",73,42,31,25
"B26 2TE",40,22,18,25
"B26 2TF",35,19,16,16
"B26 2TG",17,7,10,8
"B26 2TH",27,13,14,12
"B26 2TJ",26,8,18,15
"B26 2TL",35,20,15,16
"B26 2TN",14,9,5,8
"B26 2TP",15,6,9,6
"B26 2TQ",43,21,22,18
"B26 2TR",31,16,15,12
"B26 2TS",42,20,22,20
"B26 2TT",71,38,33,26
"B26 2TU",77,37,40,24
"B26 2TW",43,19,24,16
"B26 2TX",73,31,42,28
"B26 2TY",35,18,17,17
"B26 2TZ",16,6,10,12
"B26 2UA",102,51,51,44
"B26 2UB",13,8,5,5
"B26 2UL",143,63,80,57
"B26 2UN",7,1,6,4
"B26 2UP",23,10,13,8
"B26 2UR",93,45,48,41
"B26 2US",57,28,29,24
"B26 2UT",98,53,45,32
"B26 2UU",39,20,19,16
"B26 2UX",69,38,31,25
"B26 2UY",28,16,12,8
"B26 2XA",27,13,14,11
"B26 3AA",23,10,13,10
"B26 3AB",100,48,52,32
"B26 3AD",19,11,8,8
"B26 3AE",109,43,66,45
"B26 3AG",66,26,40,23
"B26 3AH",65,32,33,26
"B26 3AJ",79,40,39,35
"B26 3AL",17,6,11,5
"B26 3AQ",60,29,31,18
"B26 3AR",143,70,73,58
"B26 3AS",73,29,44,30
"B26 3AT",12,4,8,6
"B26 3AU",60,31,29,22
"B26 3AW",1,1,0,1
"B26 3AY",20,10,10,7
"B26 3BA",125,55,70,51
"B26 3BD",30,11,19,14
"B26 3BE",51,24,27,19
"B26 3BG",79,40,39,32
"B26 3BH",31,14,17,14
"B26 3BJ",66,29,37,27
"B26 3BL",18,12,6,9
"B26 3BN",83,41,42,32
"B26 3BP",41,19,22,15
"B26 3BS",19,11,8,9
"B26 3BT",63,31,32,42
"B26 3BU",19,11,8,4
"B26 3BX",61,35,26,31
"B26 3DA",36,21,15,17
"B26 3DB",74,39,35,31
"B26 3DD",77,35,42,41
"B26 3DG",27,18,9,15
"B26 3DH",102,49,53,52
"B26 3DJ",85,38,47,39
"B26 3DL",19,10,9,8
"B26 3DN",28,17,11,14
"B26 3DU",11,4,7,7
"B26 3DX",15,10,5,6
"B26 3DY",18,12,6,7
"B26 3EH",1,1,0,1
"B26 3EJ",55,27,28,18
"B26 3EL",89,41,48,36
"B26 3EN",40,22,18,12
"B26 3EP",13,7,6,6
"B26 3ER",80,44,36,33
"B26 3ES",71,36,35,26
"B26 3EW",35,22,13,19
"B26 3EX",48,21,27,19
"B26 3EY",14,7,7,5
"B26 3HA",47,28,19,18
"B26 3HB",109,48,61,68
"B26 3HD",11,3,8,6
"B26 3HG",24,9,15,18
"B26 3HH",78,44,34,33
"B26 3HJ",81,41,40,32
"B26 3HN",65,28,37,32
"B26 3HS",84,42,42,38
"B26 3HT",79,36,43,32
"B26 3HU",41,21,20,16
"B26 3HX",65,36,29,28
"B26 3HY",48,25,23,19
"B26 3HZ",22,9,13,14
"B26 3JA",2,1,1,1
"B26 3JB",42,27,15,27
"B26 3JE",17,10,7,9
"B26 3JH",17,13,4,8
"B26 3JR",50,26,24,19
"B26 3JT",7,3,4,2
"B26 3JU",85,42,43,32
"B26 3JX",95,45,50,38
"B26 3JY",70,43,27,24
"B26 3LA",115,58,57,49
"B26 3LB",86,43,43,37
"B26 3LD",76,46,30,29
"B26 3LE",105,52,53,40
"B26 3LG",62,27,35,21
"B26 3LH",97,53,44,41
"B26 3LJ",172,86,86,60
"B26 3LR",103,51,52,62
"B26 3LS",34,18,16,16
"B26 3LT",16,5,11,12
"B26 3LU",1,0,1,1
"B26 3LX",21,13,8,6
"B26 3LY",43,19,24,18
"B26 3LZ",60,33,27,24
"B26 3NA",57,32,25,26
"B26 3NB",56,29,27,21
"B26 3ND",158,82,76,61
"B26 3NE",177,88,89,63
"B26 3NW",8,5,3,3
"B26 3NX",2,1,1,1
"B26 3PG",31,10,21,22
"B26 3PN",85,42,43,36
"B26 3PP",82,44,38,25
"B26 3PW",42,23,19,20
"B26 3PX",137,73,64,56
"B26 3QD",2,2,0,1
"B26 3QL",2,1,1,1
"B26 3QS",11,8,3,6
"B26 3QW",1,0,1,1
"B26 3RA",34,12,22,13
"B26 3RB",101,54,47,46
"B26 3RD",81,42,39,31
"B26 3RE",90,42,48,38
"B26 3RG",106,52,54,46
"B26 3RH",144,70,74,59
"B26 3RJ",27,9,18,11
"B26 3RL",121,65,56,43
"B26 3RN",62,28,34,23
"B26 3RP",107,50,57,47
"B26 3RR",90,45,45,35
"B26 3RS",80,39,41,28
"B26 3RU",50,25,25,17
"B26 3RX",27,15,12,12
"B26 3SE",71,37,34,24
"B26 3SG",35,20,15,19
"B26 3SH",61,34,27,19
"B26 3SJ",56,34,22,18
"B26 3SL",55,34,21,22
"B26 3SN",14,5,9,10
"B26 3SP",127,66,61,54
"B26 3SQ",51,25,26,19
"B26 3SR",48,20,28,24
"B26 3SS",36,20,16,16
"B26 3ST",109,51,58,54
"B26 3SU",54,29,25,23
"B26 3SX",82,41,41,29
"B26 3SY",70,40,30,26
"B26 3SZ",8,3,5,4
"B26 3TA",40,22,18,14
"B26 3TB",99,52,47,36
"B26 3TH",50,27,23,24
"B26 3TJ",39,18,21,17
"B26 3TN",29,18,11,19
"B26 3TP",17,7,10,8
"B26 3TR",83,36,47,52
"B26 3TS",52,27,25,26
"B26 3TT",21,10,11,9
"B26 3TU",18,10,8,11
"B26 3TW",36,21,15,12
"B26 3TX",16,8,8,6
"B26 3UB",37,20,17,16
"B26 3UF",28,17,11,12
"B26 3UG",13,6,7,5
"B26 3UH",89,44,45,37
"B26 3UJ",38,17,21,11
"B26 3UL",71,36,35,36
"B26 3UN",62,35,27,22
"B26 3UT",117,60,57,48
"B26 3UU",156,82,74,64
"B26 3UX",134,70,64,60
"B26 3UY",64,33,31,20
"B26 3XA",95,38,57,53
"B26 3XD",22,12,10,11
"B26 3XE",82,45,37,42
"B26 3XF",161,76,85,63
"B26 3XG",15,8,7,6
"B26 3XH",87,36,51,36
"B26 3XJ",34,23,11,27
"B26 3XL",70,40,30,38
"B26 3XN",38,23,15,28
"B26 3XU",26,10,16,12
"B26 3XW",48,20,28,23
"B26 3XX",28,13,15,14
"B26 3YA",85,36,49,43
"B26 3YB",87,44,43,33
"B26 3YD",86,39,47,38
"B26 3YE",27,14,13,18
"B26 3YF",86,43,43,42
"B26 3YG",127,65,62,53
"B26 3YH",96,40,56,45
"B26 3YJ",3,2,1,2
"B26 3YL",117,54,63,52
"B26 3YN",1,1,0,1
"B26 3YP",71,39,32,25
"B26 3YR",88,39,49,38
"B27 6AA",106,47,59,47
"B27 6AD",20,8,12,1
"B27 6AE",95,57,38,44
"B27 6AF",19,14,5,11
"B27 6AG",67,30,37,20
"B27 6AH",126,63,63,38
"B27 6AL",61,29,32,28
"B27 6AQ",97,53,44,32
"B27 6AR",125,67,58,48
"B27 6AU",55,23,32,16
"B27 6AX",95,49,46,34
"B27 6AY",106,55,51,35
"B27 6BA",19,9,10,9
"B27 6BB",43,24,19,16
"B27 6BH",2,1,1,1
"B27 6BL",27,15,12,18
"B27 6BN",45,16,29,19
"B27 6BP",33,16,17,18
"B27 6BS",20,15,5,8
"B27 6BT",6,3,3,5
"B27 6BX",13,7,6,6
"B27 6BY",2,1,1,1
"B27 6DA",43,20,23,21
"B27 6DB",38,13,25,30
"B27 6DD",42,17,25,32
"B27 6DE",71,33,38,27
"B27 6DH",72,40,32,55
"B27 6DN",49,26,23,20
"B27 6DR",105,55,50,60
"B27 6DS",108,53,55,43
"B27 6DT",122,64,58,38
"B27 6DU",84,46,38,34
"B27 6DX",27,11,16,19
"B27 6DY",21,9,12,5
"B27 6EA",28,14,14,16
"B27 6EB",3,1,2,2
"B27 6ED",43,28,15,19
"B27 6EG",85,56,29,38
"B27 6EH",64,37,27,34
"B27 6EJ",31,14,17,13
"B27 6EL",13,5,8,8
"B27 6ER",90,49,41,39
"B27 6ES",99,61,38,50
"B27 6ET",96,52,44,34
"B27 6EU",56,32,24,20
"B27 6EX",39,21,18,11
"B27 6EY",22,11,11,8
"B27 6GY",18,10,8,5
"B27 6HA",97,37,60,29
"B27 6HB",115,57,58,28
"B27 6HD",79,36,43,24
"B27 6HE",98,48,50,33
"B27 6HG",6,4,2,5
"B27 6HH",124,64,60,45
"B27 6HJ",85,47,38,25
"B27 6HL",115,61,54,35
"B27 6HN",107,53,54,35
"B27 6HP",129,65,64,35
"B27 6HS",27,9,18,13
"B27 6HT",34,18,16,16
"B27 6HW",107,53,54,32
"B27 6HY",51,18,33,19
"B27 6HZ",13,7,6,4
"B27 6JB",31,18,13,16
"B27 6JD",29,14,15,13
"B27 6JF",44,19,25,16
"B27 6JH",63,35,28,8
"B27 6JJ",26,10,16,8
"B27 6JL",50,23,27,20
"B27 6JN",46,25,21,23
"B27 6JR",34,19,15,13
"B27 6JS",25,11,14,11
"B27 6JU",16,7,9,8
"B27 6JW",26,12,14,13
"B27 6JX",44,25,19,17
"B27 6JY",53,24,29,20
"B27 6JZ",17,6,11,12
"B27 6LA",100,57,43,38
"B27 6LD",12,5,7,7
"B27 6LE",122,58,64,42
"B27 6LF",84,35,49,30
"B27 6LG",31,20,11,16
"B27 6LH",68,35,33,32
"B27 6LJ",85,53,32,42
"B27 6LL",20,11,9,12
"B27 6LN",113,58,55,46
"B27 6LP",63,34,29,25
"B27 6LQ",20,9,11,12
"B27 6LR",122,69,53,74
"B27 6LT",94,42,52,44
"B27 6LU",24,12,12,7
"B27 6LW",103,49,54,44
"B27 6LX",74,32,42,36
"B27 6LZ",47,28,19,19
"B27 6NA",49,26,23,19
"B27 6NB",38,19,19,13
"B27 6ND",8,5,3,4
"B27 6NE",102,55,47,34
"B27 6NF",51,22,29,16
"B27 6NG",148,88,60,64
"B27 6NH",21,10,11,10
"B27 6NJ",80,31,49,31
"B27 6NL",47,23,24,17
"B27 6NN",116,54,62,46
"B27 6NP",84,36,48,38
"B27 6NQ",5,4,1,4
"B27 6NR",123,61,62,50
"B27 6NS",31,15,16,17
"B27 6NT",23,13,10,14
"B27 6NU",92,45,47,35
"B27 6NX",10,4,6,6
"B27 6PA",61,30,31,27
"B27 6PB",32,17,15,14
"B27 6PD",12,6,6,7
"B27 6PE",11,6,5,8
"B27 6PF",81,29,52,44
"B27 6PG",168,85,83,59
"B27 6PL",107,50,57,37
"B27 6PP",45,21,24,15
"B27 6PQ",12,8,4,5
"B27 6PR",4,4,0,4
"B27 6PX",88,51,37,35
"B27 6QA",122,65,57,61
"B27 6QB",64,34,30,14
"B27 6QD",81,40,41,17
"B27 6QE",17,8,9,11
"B27 6QF",14,6,8,4
"B27 6QG",133,55,78,33
"B27 6QH",43,22,21,22
"B27 6QJ",68,36,32,18
"B27 6QL",61,30,31,20
"B27 6QP",72,37,35,36
"B27 6QR",99,43,56,32
"B27 6QS",24,15,9,15
"B27 6QT",78,27,51,15
"B27 6QX",73,30,43,38
"B27 6RA",18,10,8,14
"B27 6RG",7,6,1,3
"B27 6RL",17,7,10,7
"B27 6RP",104,52,52,44
"B27 6RQ",14,5,9,4
"B27 6RR",38,16,22,14
"B27 6RT",63,33,30,29
"B27 6RU",5,2,3,4
"B27 6RX",56,28,28,23
"B27 6RY",90,42,48,44
"B27 6RZ",38,16,22,21
"B27 6SA",34,16,18,21
"B27 6SB",44,20,24,26
"B27 6SD",83,45,38,32
"B27 6SE",102,46,56,41
"B27 6SF",80,41,39,27
"B27 6SG",86,45,41,35
"B27 6SH",80,45,35,29
"B27 6SJ",22,11,11,10
"B27 6SL",14,9,5,6
"B27 6SN",2,1,1,1
"B27 6SP",47,24,23,21
"B27 6SQ",82,39,43,35
"B27 6SR",72,32,40,31
"B27 6SS",103,49,54,44
"B27 6ST",80,38,42,37
"B27 6SU",113,49,64,53
"B27 6SX",35,18,17,13
"B27 6SY",182,90,92,83
"B27 6SZ",111,58,53,35
"B27 6TA",48,27,21,16
"B27 6TB",29,14,15,13
"B27 6TD",65,28,37,28
"B27 6TE",47,19,28,27
"B27 6TF",36,18,18,14
"B27 6TG",42,26,16,18
"B27 6TR",26,14,12,14
"B27 6TS",18,8,10,8
"B27 6TU",17,9,8,7
"B27 7AA",71,34,37,23
"B27 7AB",34,15,19,13
"B27 7AD",84,45,39,44
"B27 7AE",65,28,37,51
"B27 7AF",118,52,66,63
"B27 7AG",3,1,2,2
"B27 7AH",59,23,36,26
"B27 7AJ",45,19,26,21
"B27 7AN",44,22,22,21
"B27 7AP",116,60,56,40
"B27 7AQ",129,56,73,67
"B27 7AR",17,8,9,5
"B27 7AS",95,39,56,40
"B27 7AT",79,35,44,33
"B27 7AU",126,59,67,50
"B27 7AW",88,41,47,32
"B27 7AX",12,7,5,2
"B27 7AY",91,43,48,39
"B27 7AZ",52,28,24,24
"B27 7BA",107,49,58,36
"B27 7BE",101,57,44,30
"B27 7BG",32,17,15,11
"B27 7BH",73,33,40,31
"B27 7BJ",48,24,24,20
"B27 7BL",95,48,47,43
"B27 7BN",46,25,21,20
"B27 7BP",97,47,50,28
"B27 7BS",17,6,11,9
"B27 7BT",142,72,70,66
"B27 7BU",43,20,23,15
"B27 7BW",16,5,11,7
"B27 7BX",31,14,17,14
"B27 7BY",74,35,39,30
"B27 7BZ",153,67,86,64
"B27 7DA",21,12,9,10
"B27 7DB",166,84,82,61
"B27 7DD",16,11,5,6
"B27 7DE",146,64,82,56
"B27 7DF",115,53,62,43
"B27 7DG",43,24,19,16
"B27 7DH",37,16,21,13
"B27 7DR",46,26,20,18
"B27 7DS",30,16,14,15
"B27 7DT",68,32,36,22
"B27 7DU",35,13,22,17
"B27 7DX",61,28,33,22
"B27 7DY",49,21,28,20
"B27 7EA",104,52,52,40
"B27 7EB",44,22,22,15
"B27 7EE",100,51,49,37
"B27 7EG",60,21,39,31
"B27 7EN",74,28,46,29
"B27 7EP",33,16,17,14
"B27 7ER",31,14,17,13
"B27 7ES",63,28,35,20
"B27 7ET",10,4,6,6
"B27 7EU",98,47,51,39
"B27 7EW",52,21,31,18
"B27 7EX",95,37,58,39
"B27 7EY",77,40,37,31
"B27 7HA",138,62,76,49
"B27 7HB",111,51,60,49
"B27 7HD",93,47,46,33
"B27 7HE",41,23,18,13
"B27 7HH",17,8,9,6
"B27 7HJ",218,112,106,73
"B27 7HL",84,44,40,28
"B27 7HN",41,22,19,18
"B27 7HP",89,43,46,32
"B27 7HR",149,70,79,51
"B27 7HS",86,44,42,33
"B27 7HT",32,19,13,12
"B27 7HU",47,22,25,22
"B27 7HW",57,32,25,17
"B27 7HX",69,32,37,23
"B27 7HY",145,70,75,58
"B27 7HZ",56,22,34,20
"B27 7JA",55,24,31,22
"B27 7JB",116,51,65,52
"B27 7JD",72,32,40,24
"B27 7JE",66,31,35,26
"B27 7JF",57,29,28,24
"B27 7JG",134,67,67,50
"B27 7JN",91,44,47,32
"B27 7JP",69,36,33,25
"B27 7JQ",29,16,13,10
"B27 7JR",187,100,87,70
"B27 7JS",152,76,76,55
"B27 7JT",65,31,34,28
"B27 7JU",51,23,28,22
"B27 7JW",65,31,34,26
"B27 7JX",49,25,24,20
"B27 7JY",57,26,31,24
"B27 7LA",115,55,60,41
"B27 7LB",61,29,32,20
"B27 7LD",81,41,40,29
"B27 7LE",29,12,17,12
"B27 7LG",44,20,24,13
"B27 7LH",91,41,50,36
"B27 7LJ",114,58,56,40
"B27 7LL",101,50,51,37
"B27 7LN",90,46,44,28
"B27 7LP",96,46,50,28
"B27 7LR",61,27,34,25
"B27 7LS",106,53,53,34
"B27 7LT",45,18,27,21
"B27 7LU",100,51,49,45
"B27 7LW",70,33,37,27
"B27 7NA",113,67,46,50
"B27 7NB",65,33,32,29
"B27 7ND",59,32,27,21
"B27 7NE",42,19,23,12
"B27 7NF",36,18,18,14
"B27 7NG",118,57,61,51
"B27 7NH",111,55,56,38
"B27 7NJ",55,21,34,20
"B27 7NL",65,33,32,22
"B27 7NN",149,70,79,48
"B27 7NP",90,43,47,34
"B27 7NQ",46,21,25,23
"B27 7NR",71,35,36,31
"B27 7NS",71,39,32,27
"B27 7NT",7,4,3,4
"B27 7NU",21,10,11,7
"B27 7NX",102,43,59,33
"B27 7NY",144,74,70,60
"B27 7PA",78,44,34,22
"B27 7PB",100,43,57,35
"B27 7PG",26,11,15,9
"B27 7PH",170,89,81,69
"B27 7PJ",60,28,32,21
"B27 7PP",38,19,19,21
"B27 7PS",35,18,17,24
"B27 7PT",17,12,5,12
"B27 7PU",40,23,17,10
"B27 7PX",20,10,10,9
"B27 7PY",34,17,17,11
"B27 7QA",28,14,14,10
"B27 7QE",86,46,40,31
"B27 7QH",58,26,32,18
"B27 7QJ",51,27,24,18
"B27 7QL",119,54,65,45
"B27 7QN",42,22,20,12
"B27 7QP",33,15,18,17
"B27 7QQ",21,9,12,10
"B27 7QR",41,24,17,17
"B27 7QS",65,32,33,20
"B27 7QT",33,14,19,12
"B27 7QU",70,34,36,23
"B27 7QW",65,30,35,25
"B27 7QX",18,10,8,7
"B27 7RB",22,13,9,11
"B27 7RD",35,15,20,12
"B27 7RE",118,53,65,40
"B27 7RG",112,51,61,42
"B27 7RH",46,28,18,17
"B27 7RJ",80,46,34,21
"B27 7RR",22,13,9,8
"B27 7RS",77,43,34,31
"B27 7RT",15,10,5,6
"B27 7RU",62,33,29,22
"B27 7RX",8,4,4,3
"B27 7RY",16,8,8,6
"B27 7RZ",47,25,22,20
"B27 7SA",9,6,3,7
"B27 7SB",71,33,38,27
"B27 7SD",69,28,41,23
"B27 7SE",41,24,17,16
"B27 7SG",21,9,12,9
"B27 7SH",42,19,23,19
"B27 7SJ",7,2,5,6
"B27 7SL",29,11,18,15
"B27 7SN",35,20,15,13
"B27 7SP",49,25,24,21
"B27 7SQ",37,14,23,14
"B27 7SR",23,12,11,8
"B27 7SS",46,22,24,19
"B27 7ST",21,11,10,11
"B27 7SU",91,42,49,31
"B27 7SW",35,19,16,18
"B27 7SX",152,79,73,52
"B27 7SY",17,11,6,9
"B27 7TA",82,40,42,65
"B27 7TB",77,37,40,68
"B27 7TD",83,47,36,67
"B27 7TG",18,9,9,10
"B27 7TH",101,42,59,25
"B27 7TJ",52,27,25,16
"B27 7TL",89,38,51,24
"B27 7TN",57,28,29,20
"B27 7TP",46,27,19,11
"B27 7TR",68,30,38,30
"B27 7TS",129,54,75,51
"B27 7TT",55,27,28,18
"B27 7TU",13,5,8,5
"B27 7TW",30,13,17,10
"B27 7TY",71,32,39,26
"B27 7TZ",66,32,34,30
"B27 7UA",44,26,18,9
"B27 7UH",29,13,16,12
"B27 7UL",71,40,31,23
"B27 7UN",19,11,8,8
"B27 7UP",44,19,25,14
"B27 7UQ",54,29,25,28
"B27 7UR",7,4,3,2
"B27 7UT",122,76,46,57
"B27 7UW",31,15,16,9
"B27 7UX",123,44,79,46
"B27 7UY",12,3,9,8
"B27 7UZ",30,17,13,13
"B27 7XA",47,25,22,22
"B27 7XB",11,4,7,4
"B27 7XE",39,18,21,14
"B27 7XG",48,23,25,38
"B27 7XH",82,44,38,47
"B27 7XJ",16,6,10,5
"B27 7XL",56,27,29,19
"B27 7XP",102,46,56,48
"B27 7XQ",52,20,32,37
"B27 7XR",13,9,4,7
"B27 7XS",107,49,58,60
"B27 7XT",27,10,17,10
"B27 7XU",48,26,22,26
"B27 7XW",44,23,21,18
"B27 7XY",5,2,3,4
"B27 7XZ",183,81,102,86
"B27 7YA",67,32,35,18
"B27 7YB",33,18,15,18
"B27 7YD",68,38,30,30
"B27 7YE",53,35,18,24
"B27 7YG",59,28,31,27
"B27 7YT",39,19,20,17
"B28 0AA",40,20,20,13
"B28 0AB",92,49,43,30
"B28 0AD",70,37,33,22
"B28 0AE",39,19,20,13
"B28 0AG",33,17,16,8
"B28 0AH",42,24,18,16
"B28 0AJ",97,54,43,35
"B28 0AL",97,50,47,39
"B28 0AQ",108,48,60,36
"B28 0AR",61,31,30,14
"B28 0AS",21,12,9,15
"B28 0AT",85,39,46,28
"B28 0AU",98,47,51,33
"B28 0AX",103,58,45,28
"B28 0AY",121,63,58,37
"B28 0BA",16,10,6,7
"B28 0BB",50,21,29,24
"B28 0BD",47,25,22,13
"B28 0BG",41,17,24,14
"B28 0BH",9,6,3,3
"B28 0BJ",33,15,18,19
"B28 0BL",20,12,8,12
"B28 0BN",42,15,27,10
"B28 0BP",18,9,9,15
"B28 0BQ",6,2,4,3
"B28 0BS",16,6,10,7
"B28 0BT",25,11,14,9
"B28 0BU",40,19,21,16
"B28 0BX",33,20,13,18
"B28 0DA",107,60,47,59
"B28 0DB",53,21,32,23
"B28 0DD",57,32,25,20
"B28 0DE",110,43,67,33
"B28 0DF",74,36,38,30
"B28 0DG",80,39,41,26
"B28 0DH",55,27,28,17
"B28 0DJ",55,27,28,17
"B28 0DN",52,28,24,17
"B28 0DP",43,19,24,13
"B28 0DQ",63,33,30,29
"B28 0DR",16,10,6,6
"B28 0DS",35,18,17,12
"B28 0DT",26,14,12,17
"B28 0DU",29,14,15,12
"B28 0DW",78,40,38,23
"B28 0DX",24,15,9,9
"B28 0DY",38,19,19,13
